playerid,displayname,height,weight,dob,position,origin
2008665688,"Bellchambers, Tom",202.0,108.0,1989-07-09,Ruck,Tasmania Devils
2011668878,"Bennell, Harley",185.0,74.0,1992-10-02,Midfield,Peel Thunder
2009665819,"Bennell, Jamie",179.0,78.0,1990-06-07,Defender,Swan Districts
2021663355,"Bergman, Miles",186.0,75.0,2001-10-18,"Defender, Forward",Sandringham Dragons
2022664334,"Bergman, Miller",188.0,70.0,2003-01-25,Defender,Dandenong Stingrays
2017669695,"Berry, Jarrod",193.0,89.0,1998-02-05,Midfield,GWV Rebels
2021661124,"Berry, Sam",181.0,81.0,2002-02-12,"Midfield, Forward",Gippsland Power
2020669775,"Berry, Tom",185.0,76.0,2001-05-01,Forward,GWV Rebels
2005667052,"Betts, Eddie",174.0,74.0,1986-11-26,Forward,Calder Cannons
2011665801,"Bewick, Rohan",184.0,83.0,1989-10-10,"Midfield, Forward",West Perth
2019662031,"Bewley, Brett",185.0,87.0,1995-04-14,Forward,Williamstown
2014668825,"Bews, Jed",186.0,88.0,1993-12-14,Defender,Geelong Falcons
2021663611,"Bianco, Trent",178.0,70.0,2001-01-20,"Defender, Midfield",Oakleigh Chargers
2013663259,"Biggs, Shane",187.0,84.0,1991-08-05,Defender,Bendigo Gold
2014668660,"Billings, Jack",184.0,79.0,1995-08-18,"Midfield, Forward",Oakleigh Chargers
2006668040,"Birchall, Grant",193.0,89.0,1988-01-28,Defender,Devonport
2008661632,"Bird, Craig",179.0,84.0,1989-01-21,Midfield,Nelson Bay
2022661162,"Black, Aaron",181.0,81.0,1992-12-25,Midfield,West Perth
2011665405,"Black, Aaron",192.0,88.0,1990-11-29,Forward,Peel Thunder
1998668708,"Black, Simon",186.0,81.0,1979-04-03,Midfield,East Fremantle
2010662147,"Blair, Jarryd",174.0,81.0,1990-04-14,Forward,Gippsland Power
2000664544,"Blake, Jason",189.0,90.0,1981-03-15,Defender,Beaumaris
2015665690,"Blakely, Connor",188.0,90.0,1996-03-02,Midfield,Swan Districts
2019663435,"Blakey, Nick",195.0,80.0,2000-02-27,Forward,Unsw
2022669910,"Blanck, James",196.0,93.0,2000-11-20,Defender,Box Hill Hawks
2011665941,"Blease, Sam",184.0,77.0,1991-02-19,"Midfield, Forward",Eastern Ranges
2012666354,"Blee, Nathan",191.0,84.0,1990-09-07,Defender,East Perth
2013661585,"Blicavs, Mark",198.0,100.0,1991-03-28,"Defender, Midfield",Geelong Cats
2007664906,"Boak, Travis",183.0,85.0,1988-08-01,Midfield,Geelong Falcons
2004665411,"Bock, Nathan",193.0,93.0,1983-03-20,Forward,Woodville-West Torrens
2015667529,"Boekhorst, Blaine",185.0,75.0,1993-09-02,"Midfield, Forward",Swan Districts
1999669174,"Bolton, Jude",182.0,84.0,1980-03-15,"Midfield, Forward",Calder Cannons
2017662192,"Bolton, Shai",175.0,77.0,1998-12-08,"Midfield, Forward",South Fremantle
2018669246,"Bonar, Aiden",188.0,87.0,1999-03-08,Defender,Dandenong Stingrays
2016662686,"Bonner, Riley",190.0,85.0,1997-03-07,Defender,West Adelaide
2014665253,"Bontempelli, Marcus",193.0,93.0,1995-11-24,Midfield,Northern Knights
2012667882,"Bootsma, Josh",190.0,74.0,1993-02-22,Defender,South Fremantle
2023667830,"Borlase, James",192.0,101.0,2002-07-18,Defender,Sturt
2020661983,"Bosenavulagi, Atu",180.0,82.0,2000-09-17,Forward,Oakleigh Chargers
2013667350,"Boston, Andrew",180.0,80.0,1994-03-23,Midfield,Broadbeach
2012669835,"Boumann, Jarrad",196.0,90.0,1989-08-18,Forward,Dandenong Stingrays
2014668915,"Bourke, Jordon",193.0,88.0,1994-11-11,Defender,Morningside
2006669101,"Bower, Paul",192.0,92.0,1988-01-09,Defender,Peel Thunder
2017663348,"Bowes, Jack",187.0,85.0,1998-01-26,Defender,Cairns
2021666343,"Bowey, Jake",175.0,67.0,2002-09-12,"Midfield, Forward",Sandringham Dragons
2022661982,"Boyd, Jordan",182.0,80.0,1998-09-22,Defender,Footscray Bulldogs
2003661535,"Boyd, Matthew",184.0,88.0,1982-08-27,Defender,Dandenong Stingrays
2014666381,"Boyd, Tom",200.0,103.0,1995-08-22,"Forward, Ruck",Eastern Ranges
2004665807,"Bradley, Kepler",199.0,100.0,1985-11-13,Forward,West Perth
2021668904,"Bramble, Lachlan",182.0,75.0,1998-04-19,"Midfield, Forward",Box Hill Hawks
2016668464,"Brand, Kaiden",198.0,98.0,1994-04-08,Defender,West Adelaide
2018661796,"Brander, Jarrod",195.0,92.0,1999-02-11,"Midfield, Forward",Bendigo Pioneers
2018669647,"Brayshaw, Andrew",184.0,84.0,1999-11-08,Midfield,Sandringham Dragons
2015665345,"Brayshaw, Angus",187.0,87.0,1996-01-09,Midfield,Sandringham Dragons
2020663853,"Brayshaw, Hamish",187.0,90.0,1998-02-09,Midfield,Sandringham Dragons
2012666535,"Brennan, Jacob",188.0,82.0,1990-01-24,Defender,East Fremantle
2003664471,"Brennan, Jared",192.0,95.0,1984-07-28,Defender,Southern Districts
2011663064,"Breust, Luke",184.0,84.0,1990-11-11,Forward,Temora
2021665802,"Briggs, Kieren",200.0,103.0,1999-10-06,"Defender, Forward",Pennant Hills
2016661079,"Broad, Nathan",192.0,89.0,1993-04-15,Defender,Swan Districts
2009666472,"Broadbent, Matthew",189.0,90.0,1990-08-01,Defender,Woodville-West Torrens
2021662446,"Brockman, Tyler",181.0,75.0,2002-11-22,"Midfield, Forward",Subiaco
2017664185,"Brodie, Will",189.0,89.0,1998-08-23,"Midfield, Forward",Murray Bushrangers
2001665891,"Brogan, Dean",200.0,101.0,1978-12-14,Ruck,South Adelaide
2015663968,"Brooksby, Keegan",197.0,99.0,1990-04-27,"Forward, Ruck",South Adelaide
2014666439,"Broomhead, Tim",185.0,80.0,1994-03-22,"Midfield, Forward",Port Adelaide
2009668502,"Broughton, Greg",189.0,85.0,1986-09-29,Defender,Subiaco
2014665536,"Brown, Ben",200.0,101.0,1992-11-20,Forward,Werribee
2017661572,"Brown, Callum",178.0,77.0,1998-04-27,Forward,Eastern Ranges
2021667039,"Brown, Callum",188.0,91.0,2000-08-15,Forward,Ireland
2002665223,"Brown, Campbell",177.0,83.0,1983-08-28,Forward,Oakleigh Chargers
2000667335,"Brown, Jonathan",195.0,103.0,1981-10-29,Forward,Geelong Falcons
2012662083,"Brown, Luke",181.0,81.0,1992-09-22,Defender,Norwood
2011669981,"Brown, Mitch",196.0,95.0,1990-08-28,Forward,Sandringham Dragons
2007668175,"Brown, Mitch",195.0,93.0,1988-12-17,Defender,GWV Rebels
2008662225,"Brown, Nathan",196.0,99.0,1988-12-17,Defender,GWV Rebels
2023663831,"Brown, Tom",193.0,81.0,2003-07-30,Defender,Murray Bushrangers
2020663480,"Brown, Tyler",188.0,77.0,1999-12-09,Midfield,Eastern Ranges
2011661435,"Browne, Alex",187.0,85.0,1992-08-09,Defender,Oakleigh Chargers
2000661056,"Bruce, Cameron",190.0,87.0,1979-09-30,"Midfield, Ruck",MHSOB
2012666113,"Bruce, Josh",197.0,101.0,1992-06-08,Forward,Canberra
2021661243,"Bruhn, Tanner",183.0,74.0,2002-05-27,Midfield,Geelong Falcons
2021669724,"Bryan, Nick",202.0,87.0,2001-10-22,Ruck,Oakleigh Chargers
2002665070,"Buchanan, Amon",179.0,83.0,1982-10-10,Forward,Geelong Falcons
2013662460,"Buckley, Dylan",179.0,77.0,1993-03-16,Forward,Northern Knights
2020666559,"Buckley, Jack",193.0,87.0,1997-12-17,"Midfield, Forward",Sydney Swans
2007661314,"Buckley, Simon",190.0,93.0,1987-04-18,Defender,Sandringham Dragons
2020666381,"Budarick, Connor",175.0,72.0,2001-04-06,"Midfield, Forward",Gold Coast Suns Academy
2012669664,"Bugg, Tomas",185.0,79.0,1993-04-05,Midfield,Pakenhem Upper
2023669115,"Buller, Jack",199.0,99.0,2001-05-16,Forward,Claremont
2012664999,"Buntine, Matt",189.0,84.0,1993-10-19,"Defender, Forward",Dandenong Stingrays
2013665300,"Burbury, George",186.0,80.0,1992-06-16,Forward,Hobart
2019661033,"Burgess, Chris",191.0,82.0,1995-11-26,Defender,Unknown
2022661131,"Burgoyne, Jase",186.0,65.0,2003-07-15,Defender,Eagles
2002669287,"Burgoyne, Shaun",186.0,89.0,1982-10-21,"Defender, Forward",Port Adelaide
2016669115,"Burton, Ryan",191.0,90.0,1997-01-31,Defender,North Adelaide
2011666378,"Butcher, John",197.0,94.0,1991-07-03,Forward,Gippsland Power
2017669102,"Butler, Dan",182.0,80.0,1996-06-03,Forward,GWV Rebels
2020668745,"Butler, Louis",184.0,75.0,2001-08-26,"Defender, Midfield",Sandringham Dragons
2022666360,"Butler, Sam",184.0,76.0,2003-02-10,Forward,GWV Rebels
2004669429,"Butler, Sam",187.0,86.0,1986-01-14,Defender,Central District
2019663639,"Butters, Zak",181.0,71.0,2000-09-08,Forward,Western Jets
2020665315,"Butts, Jordon",198.0,83.0,1999-12-31,Defender,Murray Bushrangers
2017665513,"Buzza, Wylie",198.0,102.0,1996-03-02,Forward,Mt Gravatt
2015666052,"Byrne, Ciaran",187.0,88.0,1994-12-06,Defender,Ireland
2016664470,"Byrne-Jones, Darcy",181.0,75.0,1995-09-20,Defender,Oakleigh Chargers
2020667484,"Byrnes, Ryan",180.0,81.0,2001-05-03,Midfield,Sandringham Dragons
2004662178,"Byrnes, Shannon",175.0,77.0,1984-04-07,Forward,Murray Bushrangers
2020665793,"Bytel, Jack",189.0,78.0,2000-03-14,Midfield,Calder Cannons
2013672474,"Cachia, Jaryd",184.0,86.0,1991-05-08,Midfield,Northern Knights
2011679683,"Caddy, Josh",186.0,87.0,1992-09-28,Midfield,Northern Knights
2023672014,"Cadman, Aaron",195.0,93.0,2004-03-03,Forward,GWV Rebels
2020677029,"Cahill, Ned",178.0,77.0,2001-01-11,"Midfield, Forward",Dandenong Stingrays
2019677166,"Caldwell, Jye",183.0,82.0,2000-09-28,Midfield,Bendigo Pioneers
2022679681,"Callaghan, Finn",192.0,86.0,2003-04-26,Midfield,Sandringham Dragons
2011675768,"Callinan, Ian",171.0,70.0,1982-12-20,Forward,Central District
2022674905,"Callow, Jackson",194.0,95.0,2002-06-11,Forward,Norwood
2014678070,"Cameron, Charlie",181.0,74.0,1994-07-05,Forward,Swan Districts
2014672695,"Cameron, Clay",191.0,86.0,1994-05-27,"Defender, Forward",Mt Gravatt
2018675233,"Cameron, Darcy",204.0,100.0,1995-07-18,Forward,Claremont
2019672790,"Cameron, Jarrod",182.0,70.0,2000-05-03,Forward,Swan Districts
2012671758,"Cameron, Jeremy",196.0,96.0,1993-04-01,Forward,Dartmore
2023674231,"Caminiti, Anthony",196.0,85.0,2003-12-09,Forward,Northern Knights
2021672027,"Campbell, Braeden",181.0,73.0,2002-02-04,"Midfield, Forward",Sydney Swans
2007676889,"Campbell, Matt",170.0,72.0,1987-01-21,Forward,Pioneers
2012678444,"Campbell, Tom",200.0,106.0,1991-11-02,"Forward, Ruck",Bendigo Gold
2006674623,"Carlile, Alipate",192.0,98.0,1987-04-30,Defender,Murray Bushrangers
2010679948,"Carlisle, Jake",201.0,104.0,1991-10-01,Defender,Calder Cannons
2022677560,"Carmichael, Josh",190.0,89.0,1999-09-23,Forward,West Adelaide
2004674249,"Carrazzo, Andrew",187.0,85.0,1983-12-15,Midfield,Geelong Falcons
2022678427,"Carroll, Jack",188.0,82.0,2002-12-20,Midfield,East Fremantle
2013676622,"Carter, Adam",179.0,74.0,1994-04-17,Defender,South Fremantle
2019677689,"Carter, Jason",185.0,76.0,2000-01-11,Defender,Port Wyndham
2012674522,"Casboult, Levi",201.0,101.0,1990-03-15,"Defender, Forward",Dandenong Stingrays
2002679320,"Cassisi, Domenic",184.0,82.0,1982-09-22,Midfield,East Fremantle
2016673772,"Castagna, Jason",181.0,82.0,1996-07-12,Forward,Northern Knights
2020677310,"Cavarra, Ben",173.0,72.0,1995-12-20,Forward,Williamstown
2013677583,"Ceglar, Jonathon",204.0,102.0,1991-02-14,"Forward, Ruck",Murray Bushrangers
2018676857,"Cerra, Adam",188.0,84.0,1999-10-07,Midfield,Eastern Ranges
2019677190,"Chandler, Kade",174.0,75.0,2000-01-13,Forward,Norwood
2004672392,"Chaplin, Troy",195.0,97.0,1986-02-23,Defender,GWV Rebels
2021673890,"Chapman, Heath",193.0,81.0,2002-01-31,Defender,West Perth
2000677111,"Chapman, Paul",179.0,87.0,1981-11-05,Forward,Calder Cannons
2009675555,"Cheney, Kyle",187.0,90.0,1989-08-25,Defender,GWV Rebels
2023679477,"Chesser, Campbell",186.0,85.0,2003-04-27,Midfield,Sandringham Dragons
2016676375,"Chol, Mabior",198.0,78.0,1997-01-29,"Forward, Ruck",Aspley
2011676773,"Christensen, Allen",177.0,80.0,1991-05-19,Forward,Geelong Falcons
2022672578,"Chugg, Isaac",181.0,84.0,2002-02-26,Defender,Tasmania Devils
2023671777,"Cincotta, Alex",187.0,86.0,1996-12-17,Defender,Newtown
2022676445,"Clark, Greg",195.0,94.0,1997-05-24,Midfield,Subiaco
2018671740,"Clark, Hunter",187.0,82.0,1999-03-26,"Defender, Midfield",Dandenong Stingrays
2023675787,"Clark, Jhye",181.0,77.0,2004-07-23,Midfield,Geelong Falcons
2019674146,"Clark, Jordan",185.0,78.0,2000-10-16,Midfield,Claremont
2006671443,"Clark, Mitch",200.0,103.0,1987-10-19,Forward,East Fremantle
2018673109,"Clarke, Dylan",186.0,85.0,1998-09-06,"Midfield, Forward",Eastern Ranges
2022671465,"Clarke, Judson",180.0,72.0,2003-10-17,Forward,Dandenong Stingrays
2013678536,"Clarke, Justin",195.0,93.0,1993-11-18,Defender,Booleroo Melrose Wilmington
2007679983,"Clarke, Martin",181.0,85.0,1987-11-13,Defender,Ireland
2004671285,"Clarke, Raphael",188.0,82.0,1985-09-24,Defender,St Mary's
2016673046,"Clarke, Ryan",186.0,85.0,1997-06-17,Midfield,Eastern Ranges
2009677840,"Clarke, Zac",203.0,96.0,1990-03-28,"Forward, Ruck",Oakleigh Chargers
2021672637,"Clavarino, Oscar",197.0,89.0,1999-05-22,Defender,Dandenong Stingrays
2016671933,"Clayton, Josh",190.0,80.0,1996-01-17,Midfield,Sandringham Dragons
2022679299,"Cleary, Luke",190.0,78.0,2002-03-05,Defender,Sandringham Dragons
2012679529,"Clifton, Steve",182.0,84.0,1987-05-27,Midfield,GWV Rebels
2013678994,"Clisby, Mitch",182.0,83.0,1990-01-05,Defender,-
2023679870,"Clohesy, Ted",184.0,77.0,2004-09-06,Forward,Mayo
2005673207,"Cloke, Travis",196.0,105.0,1987-03-05,Forward,Eastern Ranges
2020672557,"Close, Brad",181.0,68.0,1998-07-30,"Midfield, Forward",Glenelg
2014673665,"Close, Michael",197.0,98.0,1994-07-30,Forward,GWV Rebels
2014672868,"Clurey, Tom",193.0,88.0,1994-03-23,Defender,Murray Bushrangers
2011675790,"Coad, Michael",190.0,86.0,1983-09-13,Defender,Sturt
2015671937,"Cockatoo, Nakia",186.0,89.0,1996-10-23,"Midfield, Forward",NT Thunder
2018671121,"Coffield, Nick",191.0,82.0,1999-10-23,Defender,Northern Knights
2016676071,"Cole, Tom",186.0,81.0,1997-05-28,Defender,Sandhurst Football Netball Club
2020674302,"Coleman, Keidean",183.0,75.0,2000-03-31,"Midfield, Forward",Brisbane
2019679542,"Coleman-Jones, Callum",200.0,102.0,1999-06-13,"Forward, Ruck",Sturt
2014678354,"Colledge, Brant",192.0,90.0,1994-10-25,Midfield,Perth
2021677886,"Collier-Dawkins, Riley",189.0,89.0,2000-02-03,Midfield,Oakleigh Chargers
2009672438,"Collins, Andrew",184.0,72.0,1988-11-17,Forward,Bendigo Pioneers
2016676275,"Collins, Kieran",193.0,98.0,1997-12-14,Defender,Dandenong Stingrays
2016673744,"Collins, Sam",194.0,98.0,1994-06-15,Defender,Box Hill Hawks
2013673021,"Colquhoun, Sam",179.0,72.0,1994-12-20,Midfield,Central District
2010674136,"Colyer, Travis",175.0,77.0,1991-08-24,Forward,Claremont
2021671581,"Comben, Charlie",199.0,82.0,2001-07-20,"Forward, Ruck",Gippsland Power
2011678952,"Conca, Reece",181.0,84.0,1992-08-12,Defender,Perth
2012675967,"Coniglio, Stephen",182.0,86.0,1993-12-15,Midfield,Swan Districts
2021678301,"Connolly, Leo",181.0,74.0,2001-08-07,"Defender, Midfield",Gippsland Power
2007671624,"Connors, Daniel",186.0,84.0,1988-09-22,Defender,Bendigo Pioneers
2019679706,"Constable, Charlie",191.0,86.0,1999-05-18,Midfield,Sandringham Dragons
2023671567,"Conway, Toby",206.0,101.0,2003-04-24,Ruck,Geelong Falcons
2021678665,"Cook, Brayden",189.0,80.0,2002-07-18,"Midfield, Forward",South Adelaide
2004676124,"Cooney, Adam",187.0,83.0,1985-09-30,Forward,West Adelaide
2012671110,"Cooyou, Rhys",183.0,70.0,1991-03-22,Forward,East Fremantle
2019672117,"Corbett, Josh",190.0,90.0,1996-04-23,Forward,Werribee
2011679714,"Cordy, Ayce",204.0,99.0,1990-08-06,"Forward, Ruck",Geelong Falcons
2015679832,"Cordy, Zaine",193.0,90.0,1996-10-27,Defender,Geelong Falcons
2000679963,"Corey, Joel",191.0,89.0,1982-02-17,Midfield,East Perth
2009679767,"Cornelius, Aaron",192.0,88.0,1990-05-29,Forward,Tasmania Devils
1999671338,"Cornes, Chad",192.0,95.0,1979-11-12,Defender,Glenelg
2001676477,"Cornes, Kane",183.0,78.0,1983-01-05,Midfield,Glenelg
2013679173,"Corr, Aidan",195.0,97.0,1994-05-17,Defender,Northern Knights
2008672876,"Cotchin, Trent",185.0,86.0,1990-04-07,Midfield,Northern Knights
2020672697,"Cottrell, Matthew",181.0,72.0,2000-02-29,Defender,Dandenong Stingrays
2012676642,"Couch, Tom",177.0,79.0,1988-06-17,Midfield,Bell Park
2023673142,"Coulthard, Matthew",176.0,76.0,2001-05-11,Forward,Glenelg
2017674525,"Cousins, James",185.0,84.0,1998-03-19,"Midfield, Forward",Murray Bushrangers
2011672696,"Cowan, Josh",184.0,79.0,1991-03-16,Midfield,GWV Rebels
2023678749,"Cowan, Lachlan",188.0,82.0,2004-12-01,Defender,Tasmania Devils
2017679746,"Cox, Brennan",195.0,99.0,1998-08-13,Defender,Woodville-West Torrens
2017678146,"Cox, Cedric",181.0,79.0,1997-08-19,Forward,GWV Rebels
2001674745,"Cox, Dean",203.0,104.0,1981-08-01,"Forward, Ruck",East Perth
2016678001,"Cox, Mason",211.0,105.0,1991-03-14,Forward,United States
2021674111,"Cox, Nik",199.0,82.0,2002-01-15,"Defender, Forward",Northern Knights
2010672367,"Crameri, Stewart",190.0,98.0,1988-08-10,Forward,Bendigo Gold
2010675838,"Crichton, Jesse",183.0,78.0,1991-06-18,Midfield,North Launceston
2011671975,"Cripps, Jamie",183.0,84.0,1992-04-23,Forward,East Fremantle
2014676336,"Cripps, Patrick",195.0,92.0,1995-03-18,Midfield,East Fremantle
2012675021,"Crisp, Jack",190.0,90.0,1993-10-02,Defender,Murray Bushrangers
2016673533,"Crocker, Ben",188.0,83.0,1997-02-19,Forward,Oakleigh Chargers
2002674940,"Cross, Daniel",187.0,87.0,1983-03-30,Midfield,Murray Bushrangers
2018678662,"Crossley, Brayden",198.0,102.0,1999-08-16,Forward,Gold Coast Suns Academy
2013674392,"Crouch, Brad",186.0,85.0,1994-01-14,Midfield,GWV Rebels
2014678470,"Crouch, Matt",182.0,80.0,1995-04-21,Midfield,GWV Rebels
2018676565,"Crowden, Mitch",176.0,84.0,1999-04-28,Forward,Sturt
2005674327,"Crowley, Ryan",188.0,88.0,1984-03-05,Midfield,Calder Cannons
2012673943,"Crozier, Hayden",185.0,79.0,1993-12-24,Defender,Eastern Ranges
2022675734,"Culley, Jai",193.0,87.0,2003-02-24,"Midfield, Forward",Dandenong Stingrays
